METADATA,,,,,,,,,,,,,,
title.en,SERVICE RESTRICTIONS (Recapitulatory list of service restrictions in force relating to telecommunications operation),,,,,,,,,,,,,
title.fr,RESTRICTIONS DE SERVICE (Liste récapitulative des restrictions de service en vigueur relatives à l’exploitation des télécommunications),,,,,,,,,,,,,
title.es,RESTRICCIONES DE SERVICIO (Lista recapitulativa de las restricciones de servicio en vigor relativas a la explotación de las telecomunicaciones),,,,,,,,,,,,,
locale.geographic_area.en,Country/Geographical area,,,,,,,,,,,,,
locale.geographic_area.fr,Países/Zonas geográficas,,,,,,,,,,,,,
locale.geographic_area.es,Pays/Zones géographiques,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATA,,,,,,,,,,,,,,
geographic_area.fr,geographic_area.en,geographic_area.es,restrictions.telex_not_provided[boolean],restrictions.telegram_not_provided[boolean],restrictions.no_collect_calls.mobile[boolean],restrictions.no_collect_calls.payphone[boolean],restrictions.no_collect_calls.audiotex[boolean],restrictions.no_collect_calls.virtual[boolean],restrictions.no_collect_calls.incoming[boolean],restrictions.no_collect_calls.outgoing[boolean],restrictions.no_messenger_dispatch[boolean],notes.en,notes.es,notes.fr
Maroc,Morocco,Marruecos,,,TRUE,TRUE,,,,,,Collect calls to mobile numbers and payphones are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles o de teléfonos públicos,Les communications payables à l'arrivée à destination de numéros mobiles et de publiphones ne sont pas acceptées.
Mozambique,Mozambique,Mozambique,TRUE,,,,,,,,,The telex service is no longer provided.,El servicio télex está suprimido,Le service télex n'est plus assuré.
Namibie,Namibia,Namibia,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Pays-Bas,Netherlands,Países Bajos,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Nouvelle-Calédonie,New Caledonia,Nueva Caledonia,TRUE,TRUE,,,,,TRUE,TRUE,,The telex service is no longer provided. The telegram service is no longer provided. Collect calls for both outgoing and incoming are not accepted,El servicio télex está suprimido. El servicio de telegramas está suprimido. No se aceptan llamadas de cobro revertido entrantes ni salientes,Le service télex n'est plus assuré. Le service des télégrammes n'est plus assuré. Les communications entrantes et sortantes payables à l'arrivée ne sont pas acceptées.
Nouvelle-Zélande,New Zealand,Nueva Zelandia,,TRUE,,,,,,,,The telegram service is no longer provided,El servicio de telegramas está suprimido,Le service des télégrammes n'est plus assuré.
Nigéria,Nigeria,Nigeria,,,,,,,,,,"Due to present congestion in Lagos Port, the harbour authority will reject messages from any ship without the following particulars: a) ship's name; b) call sign; c) agent's name; d) overall length; e) draught; f) tonnage loaded; g) nature of cargo; h) last port of call; i) date and local time of ship arrival outside bar.","Debido a la actual congestión en el puerto de Lagos, las autoridades portuarias rechazarán todo mensaje de barco que no contenga los siguientes datos: a) nombre del barco; b) distintivo de llamada; c) nombre del agente; d) eslora total; e) calado; f) tonelaje; g) naturaleza del cargamento; h) último puerto de escala; i) fecha y hora local de llegada del barco a la barra exterior","En raison de l’encombrement du port de Lagos, l’autorité portuaire refusera les messages provenant de quelque navire que ce soit si les indications suivantes ne figurent pas: a) nom du navire; b) indicatif d’appel; c) nom de l’agent; d) longueur hors tout; e) tirant d’eau; f) tonnage chargé; g) nature de la cargaison; h) dernier port d’escale; i) date et heure locale d’arrivée du navire à l’extérieur de la barre. "
Norvège,Norway,Noruega,,,,,,,,,,Telenor will no longer provide collect calls from Norway. Collect calls to Norway will however continue to be accepted.,"Telenor no acepta llamadas de cobro revertido efectuadas desde Noruega, pero seguirá aceptando llamadas de cobro revertido recibidas en el país","Telenor n'acceptera plus de communications payables à l'arrivée en provenance de la Norvège. Toutefois, les communications payables à l'arrivée à destination de la Norvège continueront d'être acceptées."
Pakistan,Pakistan,Pakistán,TRUE,TRUE,,,,,,,,The telecommunication service with Israel is suspended. The telex service is no longer provided. The telegram service is no longer provided.,El servicio de telecomunicaciones con Israel está suspendido . El servicio télex está suprimido. El servicio de telegramas está suprimido,Le service de télécommunication avec Israël est suspendu.  Le service télex n'est plus assuré. Le service des télégrammes n'est plus assuré.
Panama,Panama,Panamá,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Papouasie-Nouvelle-Guinée,Papua New Guinea,Papua Nueva Guinea,TRUE,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted. The telex service is no longer provided.,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles. El servicio télex está suprimido,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées. Le service télex n'est plus assuré.
Pérou,Peru,Perú,,,,,,,TRUE,TRUE,,Collect calls for both outgoing and incoming are not accepted,No se aceptan llamadas de cobro revertido entrantes ni salientes,Les communications entrantes et sortantes payables à l'arrivée ne sont pas acceptées.
